[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:52:23,575] Trial 12 finished with value: 0.09796819268761707 and parameters: {'kernel': 'sigmoid', 'C': 70.86319006851618}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:52:38,254] Trial 13 finished with value: 0.0980212020733003 and parameters: {'kernel': 'sigmoid', 'C': 70.16260520356012}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:52:45,302] Trial 14 finished with value: 0.05398926013066052 and parameters: {'kernel': 'linear', 'C': 81.97309040350298}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:53:03,675] Trial 15 finished with value: 0.09796471195525262 and parameters: {'kernel': 'sigmoid', 'C': 88.11667382383945}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:53:20,351] Trial 16 finished with value: 0.09795674874604592 and parameters: {'kernel': 'sigmoid', 'C': 74.18170003886607}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:53:38,342] Trial 17 finished with value: 0.09810072951807335 and parameters: {'kernel': 'sigmoid', 'C': 79.93166662048915}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:53:54,556] Trial 18 finished with value: 0.05250899871694784 and parameters: {'kernel': 'rbf', 'C': 80.37749990546531}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:54:04,027] Trial 19 finished with value: 0.05388644377341541 and parameters: {'kernel': 'linear', 'C': 94.66498455290298}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:54:20,238] Trial 20 finished with value: 0.09801718907336128 and parameters: {'kernel': 'sigmoid', 'C': 86.14403897260294}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:54:35,166] Trial 21 finished with value: 0.09795285097118853 and parameters: {'kernel': 'sigmoid', 'C': 76.09724217299312}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:54:52,257] Trial 22 finished with value: 0.09793635432910877 and parameters: {'kernel': 'sigmoid', 'C': 81.23545375984345}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:55:12,432] Trial 23 finished with value: 0.09812072215255577 and parameters: {'kernel': 'sigmoid', 'C': 78.90713225184926}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:55:26,589] Trial 24 finished with value: 0.09809194450337792 and parameters: {'kernel': 'sigmoid', 'C': 79.47586077605533}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:55:39,317] Trial 25 finished with value: 0.09809622853787844 and parameters: {'kernel': 'sigmoid', 'C': 78.1903190206761}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:55:55,708] Trial 26 finished with value: 0.09795069983510377 and parameters: {'kernel': 'sigmoid', 'C': 75.20517154747158}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:56:04,611] Trial 27 finished with value: 0.05403266110349978 and parameters: {'kernel': 'linear', 'C': 83.88108330940103}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:56:20,381] Trial 28 finished with value: 0.05592572526190831 and parameters: {'kernel': 'rbf', 'C': 87.79353850208646}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:56:36,902] Trial 29 finished with value: 0.09794928042476639 and parameters: {'kernel': 'sigmoid', 'C': 72.99511897630798}. Best is trial 23 with value: 0.09812072215255577.
[I 2025-12-05 00:56:43,385] A new study created in memory with name: svc_fold_5
[I 2025-12-05 00:56:53,037] Trial 0 finished with value: 0.05871987504244898 and parameters: {'kernel': 'poly', 'C': 72.07837368100088}. Best is trial 0 with value: 0.05871987504244898.
[I 2025-12-05 00:57:01,366] Trial 1 finished with value: 0.05542086416043951 and parameters: {'kernel': 'linear', 'C': 70.24922572130096}. Best is trial 0 with value: 0.05871987504244898.
[I 2025-12-05 00:57:13,282] Trial 2 finished with value: 0.05335254193911828 and parameters: {'kernel': 'poly', 'C': 97.27862608650645}. Best is trial 0 with value: 0.05871987504244898.
[I 2025-12-05 00:57:28,717] Trial 3 finished with value: 0.05814393757746148 and parameters: {'kernel': 'rbf', 'C': 73.38331565145774}. Best is trial 0 with value: 0.05871987504244898.
