[I 2025-12-03 20:19:09,538] Trial 22 finished with value: 0.37281795660544714 and parameters: {'n_estimators': 175, 'max_depth': 5, 'min_samples_split': 3, 'min_samples_leaf': 15, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:10,825] Trial 23 finished with value: 0.37312103737627506 and parameters: {'n_estimators': 125, 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 17, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:12,659] Trial 24 finished with value: 0.3728466786122082 and parameters: {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:14,294] Trial 25 finished with value: 0.367270798469092 and parameters: {'n_estimators': 150, 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:15,553] Trial 26 finished with value: 0.37122484287757546 and parameters: {'n_estimators': 125, 'max_depth': 7, 'min_samples_split': 11, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:18,026] Trial 27 finished with value: 0.3710493830077176 and parameters: {'n_estimators': 250, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 11, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:27,676] Trial 28 finished with value: 0.34389898770393723 and parameters: {'n_estimators': 100, 'max_depth': 22, 'min_samples_split': 6, 'min_samples_leaf': 16, 'max_features': None, 'criterion': 'gini', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:31,235] Trial 29 finished with value: 0.37424382652328936 and parameters: {'n_estimators': 175, 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 29 with value: 0.37424382652328936.
[I 2025-12-03 20:19:32,904] A new study created in memory with name: random_forest_fold_4
[I 2025-12-03 20:19:35,292] Trial 0 finished with value: 0.3726541881955684 and parameters: {'n_estimators': 250, 'max_depth': 25, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': True}. Best is trial 0 with value: 0.3726541881955684.
[I 2025-12-03 20:19:45,706] Trial 1 finished with value: 0.357491460967483 and parameters: {'n_estimators': 200, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'criterion': 'gini', 'bootstrap': True}. Best is trial 0 with value: 0.3726541881955684.
[I 2025-12-03 20:19:51,378] Trial 2 finished with value: 0.3604018637149361 and parameters: {'n_estimators': 300, 'max_depth': 18, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 0 with value: 0.3726541881955684.
[I 2025-12-03 20:20:12,764] Trial 3 finished with value: 0.3372182783807453 and parameters: {'n_estimators': 175, 'max_depth': 16, 'min_samples_split': 18, 'min_samples_leaf': 5, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 0 with value: 0.3726541881955684.
