[I 2025-12-02 19:12:30,348] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 19:45:29,796] Trial 20 finished with value: 0.3917860232047472 and parameters: {'iterations': 353, 'learning_rate': 0.038689995157917614, 'depth': 4, 'l2_leaf_reg': 5.529655291209874, 'border_count': 236, 'bagging_temperature': 0.607461104901592, 'random_strength': 0.3277207432520043}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:52:26,609] Trial 21 finished with value: 0.3926747353279213 and parameters: {'iterations': 901, 'learning_rate': 0.014412542144175311, 'depth': 10, 'l2_leaf_reg': 6.0584480370145375, 'border_count': 135, 'bagging_temperature': 0.8452792833774598, 'random_strength': 0.22043887213328206}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:54:24,647] Trial 22 finished with value: 0.39019192623983423 and parameters: {'iterations': 661, 'learning_rate': 0.03524729841429969, 'depth': 9, 'l2_leaf_reg': 4.861068153442608, 'border_count': 148, 'bagging_temperature': 0.7747357573399939, 'random_strength': 0.5190642860113}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:58:07,404] Trial 23 finished with value: 0.3892891454114901 and parameters: {'iterations': 992, 'learning_rate': 0.07304688295466832, 'depth': 9, 'l2_leaf_reg': 7.12838114186104, 'border_count': 175, 'bagging_temperature': 0.893676309407904, 'random_strength': 0.10972183037226768}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:58:52,224] Trial 24 finished with value: 0.39175694106464354 and parameters: {'iterations': 871, 'learning_rate': 0.011172207338781794, 'depth': 8, 'l2_leaf_reg': 8.996819491594934, 'border_count': 157, 'bagging_temperature': 0.45914186483118935, 'random_strength': 0.2667420248244321}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:59:00,343] Trial 25 finished with value: 0.3862419384649884 and parameters: {'iterations': 753, 'learning_rate': 0.14603404936049041, 'depth': 5, 'l2_leaf_reg': 6.291185427383741, 'border_count': 200, 'bagging_temperature': 0.8002583922202818, 'random_strength': 0.08797766975219912}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:59:05,638] Trial 26 finished with value: 0.3754924038179177 and parameters: {'iterations': 761, 'learning_rate': 0.06867603486667069, 'depth': 6, 'l2_leaf_reg': 7.524558021666937, 'border_count': 32, 'bagging_temperature': 0.6546975385523508, 'random_strength': 0.34422327619588644}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:59:09,489] Trial 27 finished with value: 0.39353980192312715 and parameters: {'iterations': 630, 'learning_rate': 0.03329078201782042, 'depth': 4, 'l2_leaf_reg': 4.990948475118644, 'border_count': 135, 'bagging_temperature': 0.9819493573102693, 'random_strength': 0.4291545204439646}. Best is trial 27 with value: 0.39353980192312715.
[I 2025-12-02 19:59:12,607] Trial 28 finished with value: 0.3939186551266759 and parameters: {'iterations': 514, 'learning_rate': 0.09918960280886796, 'depth': 4, 'l2_leaf_reg': 5.000422106193166, 'border_count': 97, 'bagging_temperature': 0.9531417692267129, 'random_strength': 0.46074195882335606}. Best is trial 28 with value: 0.3939186551266759.
[I 2025-12-02 19:59:15,904] Trial 29 finished with value: 0.3920275180513754 and parameters: {'iterations': 541, 'learning_rate': 0.09079558423756644, 'depth': 4, 'l2_leaf_reg': 2.67772314023067, 'border_count': 99, 'bagging_temperature': 0.9719067559059444, 'random_strength': 0.4716520723432019}. Best is trial 28 with value: 0.3939186551266759.
[I 2025-12-02 19:59:17,288] A new study created in memory with name: catboost_fold_3
[I 2025-12-02 19:59:41,702] Trial 0 finished with value: 0.36833700968082445 and parameters: {'iterations': 589, 'learning_rate': 0.17944110335230629, 'depth': 8, 'l2_leaf_reg': 2.140869656422854, 'border_count': 126, 'bagging_temperature': 0.760746843126553, 'random_strength': 0.2808028271140516}. Best is trial 0 with value: 0.36833700968082445.
