[I 2025-12-03 21:59:06,897] Trial 4 finished with value: 0.06111881543409894 and parameters: {'n_neighbors': 1, 'weights': 'uniform', 'algorithm': 'auto', 'p': 1, 'leaf_size': 38}. Best is trial 1 with value: 0.10821369641774328.
[I 2025-12-03 21:59:10,473] Trial 5 finished with value: 0.12286953992419436 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 38}. Best is trial 5 with value: 0.12286953992419436.
[I 2025-12-03 21:59:14,784] Trial 6 finished with value: 0.12325538385075377 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 33}. Best is trial 6 with value: 0.12325538385075377.
[I 2025-12-03 21:59:15,123] Trial 7 finished with value: 0.08275294787900185 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 33}. Best is trial 6 with value: 0.12325538385075377.
[I 2025-12-03 21:59:15,318] Trial 8 finished with value: 0.10535115376284492 and parameters: {'n_neighbors': 15, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 25}. Best is trial 6 with value: 0.12325538385075377.
[I 2025-12-03 21:59:18,327] Trial 9 finished with value: 0.10467601824955668 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 35}. Best is trial 6 with value: 0.12325538385075377.
[I 2025-12-03 21:59:22,609] Trial 10 finished with value: 0.11816915870883586 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 20}. Best is trial 6 with value: 0.12325538385075377.
[I 2025-12-03 21:59:26,136] Trial 11 finished with value: 0.12544603065669882 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 40}. Best is trial 11 with value: 0.12544603065669882.
[I 2025-12-03 21:59:30,466] Trial 12 finished with value: 0.12617203936482496 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 34}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:33,928] Trial 13 finished with value: 0.12544603065669882 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 40}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:36,802] Trial 14 finished with value: 0.11529871213465251 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 36}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:40,189] Trial 15 finished with value: 0.12376342032181716 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 40}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:44,493] Trial 16 finished with value: 0.12617203936482496 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 31}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:48,914] Trial 17 finished with value: 0.09540233050509589 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 31}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:51,821] Trial 18 finished with value: 0.12031886913582061 and parameters: {'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 30}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 21:59:56,100] Trial 19 finished with value: 0.12368202406790071 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 33}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 22:00:00,475] Trial 20 finished with value: 0.09017573892981737 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 22}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 22:00:03,815] Trial 21 finished with value: 0.12544603065669882 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 37}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 22:00:08,082] Trial 22 finished with value: 0.12617203936482496 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 28}. Best is trial 12 with value: 0.12617203936482496.
[I 2025-12-03 22:00:12,373] Trial 23 finished with value: 0.12311775231729687 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 28}. Best is trial 12 with value: 0.12617203936482496.
