symbol	Oncogene	TSG
IL12B	No	No
IL12RB1	No	No
IL12RB2	No	No
IL13	No	No
IL17F	No	No
IL17RA	No	No
IL17REL	No	No
IL1R1	No	No
IL1R2	No	No
IL1RAPL1	No	No
IL1RN	No	No
IL2	No	No
IL21R	No	No
IL23R	No	No
IL2RA	No	No
IL2RG	No	No
IL4	No	No
IL6	No	No
IL7R	No	No
IMMP2L	No	No
IMPDH1	No	No
IMPG2	No	No
INAVA	No	No
INF2	No	No
ING1	No	No
ING3	No	No
INPP4A	No	No
INPP5D	No	No
INPPL1	No	No
INS	No	No
INSL3	No	No
INSR	No	No
IQSEC2	No	No
IRF1	No	No
IRF4	No	No
IRF5	No	No
IRF6	No	No
IRF8	No	No
IRGM	No	No
IRS1	No	No
IRS4	No	No
ISCU	No	No
ISX	No	No
ITCH	No	No
ITGA2B	No	No
ITGA6	No	No
ITGA7	No	No
ITGAM	No	No
ITGAV	No	No
ITGB2	No	No
ITGB3	No	No
ITGB4	No	No
ITK	No	No
ITM2B	No	No
ITPKC	No	No
ITPR1	No	No
IYD	No	No
JAG1	No	No
JAK2	No	No
JAZF1	No	No
JPH2	No	No
JUP	No	No
KALRN	No	No
KANK1	No	No
KARS1	No	No
KAT6A	No	No
KAT6B	No	No
KAT7	Yes	No
KBTBD13	No	No
KBTBD4	No	No
KCNA1	No	No
KCNA5	No	No
KCNC3	No	No
KCND2	No	No
KCNE1	No	No
KCNE2	No	No
KCNE3	No	No
KCNH2	No	No
KCNJ1	No	No
KCNJ13	No	No
KCNJ2	No	No
KCNJ5	No	No
KCNJ8	No	No
KCNK18	No	No
KCNMA1	No	No
KCNQ1	No	No
KCNQ2	No	No
KCNQ3	No	No
KCNV2	No	No
KCP	No	No
KCTD7	No	No
KDM2B	No	No
KDM4C	No	No
KDM5C	No	No
KDR	No	No
KDSR	No	No
KHDC3L	No	No
KIAA0319	No	No
KIAA1549	No	No
KIF1A	No	No
KIF1B	No	No
KIF21A	No	No
KIF21B	No	No
KIF5A	No	No
KIF5B	No	No
KIF7	No	No
KIRREL3	No	No
KISS1R	No	No
KIT	No	No
KITLG	No	No
KL	No	No
KLF1	No	No
KLF11	No	No
KLF6	No	No
KLHDC8B	No	No
KLHL7	No	No
KLK2	No	No
KLK4	No	No
KMT2A	No	No
KMT5A	No	No
KNG1	No	No
KNL1	No	No
KNSTRN	Yes	No
KPNA7	No	No
KPNB1	No	No
KRAS	No	No
KRIT1	No	No
KRT1	No	No
KRT10	No	No
KRT12	No	No
KRT13	No	No
KRT14	No	No
KRT16	No	No
KRT17	No	No
KRT18	No	No
KRT2	No	No
KRT3	No	No
KRT5	No	No
KRT6A	No	No
KRT6B	No	No
KRT74	No	No
KRT75	No	No
KRT8	No	No
KRT81	No	No
KRT83	No	No
KRT86	No	No
KRT9	No	No
KTN1	No	No
L1CAM	No	No
LACC1	No	No
LAMA3	No	No
LAMB2	No	No
LAMB3	No	No
LAMC2	No	No
LAMP2	No	No
LAMTOR2	No	No
LARGE1	No	No
LARP4B	No	Yes
LASP1	No	No
LBR	No	No
LCA5	No	No
LCAT	No	No
LCK	No	No
LCP1	No	No
LDB3	No	No
LDHA	No	No
LDLR	No	No
LDLRAP1	No	No
LEF1	No	No
LEMD3	No	No
LEP	No	No
LEPROTL1	No	Yes
LGI1	No	No
LHCGR	No	No
LHFPL6	No	No
LHX3	No	No
LHX4	No	No
LIFR	No	No
LIG4	No	No
LINC01235	No	No
LINC01548	No	No
LIPA	No	No
LIPC	No	No
LIPH	No	No
LIPI	No	No
LIPN	No	No
LITAF	No	No
LMAN1	No	No
LMBR1	No	No
LMNA	No	No
LMNB2	No	No
LMO1	No	No
LMO2	No	No
LMX1B	No	No
LNP1	No	No
LOC353007	No	No
LOC353010	No	No
LOC400867	No	No
LOR	No	No
LOX	No	No
LOXL1	No	No
LPAR6	No	No
LPIN1	No	No
LPL	No	No
LPP	No	No
LRAT	No	No
LRATD2	No	No
LRIG3	No	No
LRP5	No	No
LRP6	No	No
LRP8	No	No
LRPPRC	No	No
LRRC32	No	No
LRRC8A	No	No
LRRK2	No	No
LSM14A	No	No
LSP1	No	No
LTA	No	No
LTA4H	No	No
LTBR	No	No
LYL1	No	No
LYN	Yes	No
LYST	No	No
LYZ	No	No
LZTS1	No	No
MACC1	Yes	No
MACROD1	No	No
MACROH2A1	No	No
MAD1L1	No	No
MAF	No	No
MAGEC2	No	No
MAGED1	No	No
MAGT1	No	No
MAK	No	No
MALAT1	Yes	Yes
MALRD1	No	No
MALT1	No	No
MAML2	No	No
MAN1B1	No	No
MAN2B1	No	No
MANBA	No	No
MAP2K3	No	No
MAP2K4	No	No
MAP3K1	No	No
MAP3K13	No	No
MAP3K6	No	No
MAP3K9	No	No
MAPK8IP1	No	No
MAPKAP1	No	No
MAPT	No	No
MASTL	No	No
MATN3	No	No
MATR3	No	No
MB21D2	No	No
MBD5	No	No
MBNL1	No	No
MC1R	No	No
MC4R	No	No
MCF2L2	No	No
MCFD2	No	No
MCOLN1	No	No
MDC1	No	No
MDS2	No	No
MECOM	No	No
MECP2	No	No
MED12	No	No
MED13L	No	No
MED23	No	No
MED25	No	No
MEF2A	No	No
MEF2C	No	No
MEFV	No	No
MEIS1	No	No
MELK	No	No
MEN1	No	No
MERTK	No	No
MET	No	No
MEX3C	No	No
MFAP4	No	No
MFHAS1	No	No
MFN2	No	No
MFRP	No	No
MFSD8	No	No
MGAT2	No	No
MGMT	No	Yes
MIA2	No	No
MIB1	No	No
MICA	No	No
MICB	No	No
MICE	No	No
MICU3	No	No
MID1	No	No
MIF	No	No
MIP	No	No
MITF	No	No
MKKS	No	No
MKNK1	No	No
MKS1	No	No
MLC1	No	No
MLF1	No	No
