[I 2025-12-04 07:12:03,924] Trial 18 finished with value: 0.34367005412146745 and parameters: {'max_depth': 16, 'min_samples_split': 18, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:06,530] Trial 19 finished with value: 0.34161620567963824 and parameters: {'max_depth': 21, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:08,205] Trial 20 finished with value: 0.3450891282455462 and parameters: {'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:09,049] Trial 21 finished with value: 0.3491392283369027 and parameters: {'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:10,240] Trial 22 finished with value: 0.35215416436875907 and parameters: {'max_depth': 5, 'min_samples_split': 14, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:12,031] Trial 23 finished with value: 0.34655299068710904 and parameters: {'max_depth': 7, 'min_samples_split': 17, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:13,176] Trial 24 finished with value: 0.3504440496081169 and parameters: {'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:13,537] Trial 25 finished with value: 0.34471927515715167 and parameters: {'max_depth': 11, 'min_samples_split': 16, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:13,765] Trial 26 finished with value: 0.3435059978079482 and parameters: {'max_depth': 16, 'min_samples_split': 20, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:14,462] Trial 27 finished with value: 0.34862827489908843 and parameters: {'max_depth': 2, 'min_samples_split': 12, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:14,628] Trial 28 finished with value: 0.34351105295674506 and parameters: {'max_depth': 25, 'min_samples_split': 14, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:14,782] Trial 29 finished with value: 0.34322809563918394 and parameters: {'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 22 with value: 0.35215416436875907.
[I 2025-12-04 07:12:16,140] A new study created in memory with name: decision_tree_fold_4
[I 2025-12-04 07:12:16,601] Trial 0 finished with value: 0.3441236112573539 and parameters: {'max_depth': 18, 'min_samples_split': 18, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 0 with value: 0.3441236112573539.
[I 2025-12-04 07:12:18,874] Trial 1 finished with value: 0.34230730948663274 and parameters: {'max_depth': 12, 'min_samples_split': 18, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.3441236112573539.
[I 2025-12-04 07:12:19,067] Trial 2 finished with value: 0.34137300526967923 and parameters: {'max_depth': 27, 'min_samples_split': 13, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.3441236112573539.
[I 2025-12-04 07:12:19,379] Trial 3 finished with value: 0.3482955751573547 and parameters: {'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 3 with value: 0.3482955751573547.
[I 2025-12-04 07:12:19,724] Trial 4 finished with value: 0.34827553675959116 and parameters: {'max_depth': 8, 'min_samples_split': 13, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 3 with value: 0.3482955751573547.
[I 2025-12-04 07:12:19,869] Trial 5 finished with value: 0.34015345835326694 and parameters: {'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 3 with value: 0.3482955751573547.
