[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:49:00,217] Trial 26 finished with value: 0.3426056285323743 and parameters: {'max_depth': 16, 'min_samples_split': 28}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:49:00,523] Trial 27 finished with value: 0.34722781741440284 and parameters: {'max_depth': 2, 'min_samples_split': 39}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:49:01,619] Trial 28 finished with value: 0.3457441311820843 and parameters: {'max_depth': 11, 'min_samples_split': 33}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:49:02,257] Trial 29 finished with value: 0.35328264926154906 and parameters: {'max_depth': 5, 'min_samples_split': 25}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:49:02,527] A new study created in memory with name: decision_tree_fold_5
[I 2025-11-27 04:49:03,602] Trial 0 finished with value: 0.3426650439664203 and parameters: {'max_depth': 12, 'min_samples_split': 31}. Best is trial 0 with value: 0.3426650439664203.
[I 2025-11-27 04:49:04,870] Trial 1 finished with value: 0.33553547262735306 and parameters: {'max_depth': 28, 'min_samples_split': 5}. Best is trial 0 with value: 0.3426650439664203.
[I 2025-11-27 04:49:05,825] Trial 2 finished with value: 0.343082950709871 and parameters: {'max_depth': 9, 'min_samples_split': 27}. Best is trial 2 with value: 0.343082950709871.
[I 2025-11-27 04:49:07,089] Trial 3 finished with value: 0.3358658846083736 and parameters: {'max_depth': 28, 'min_samples_split': 7}. Best is trial 2 with value: 0.343082950709871.
[I 2025-11-27 04:49:07,500] Trial 4 finished with value: 0.3520703318424018 and parameters: {'max_depth': 3, 'min_samples_split': 21}. Best is trial 4 with value: 0.3520703318424018.
[I 2025-11-27 04:49:08,705] Trial 5 finished with value: 0.34130799007829815 and parameters: {'max_depth': 38, 'min_samples_split': 49}. Best is trial 4 with value: 0.3520703318424018.
