"ENTREZID" "SYMBOL"
"762" "4318" "MMP9"
"763" "1277" "COL1A1"
"764" "392255" "GDF6"
"765" "8792" "TNFRSF11A"
"766" "389434" "IYD"
"767" "1280" "COL2A1"
"768" "5447" "POR"
"769" "79158" "GNPTAB"
"770" "57192" "MCOLN1"
"771" "5159" "PDGFRB"
"772" "4893" "NRAS"
"773" "92521" "SPECC1"
"774" "11064" "CNTRL"
"775" "9659" "PDE4DIP"
"776" "124540" "MSI2"
"777" "11116" "FGFR1OP"
"778" "25" "ABL1"
"779" "54790" "TET2"
"780" "7158" "TP53BP1"
"781" "4928" "NUP98"
"782" "7150" "TOP1"
"783" "10600" "USP16"
"784" "4869" "NPM1"
"785" "2624" "GATA2"
"786" "613" "BCR"
"787" "23092" "ARHGAP26"
"788" "171023" "ASXL1"
"789" "2120" "ETV6"
"790" "3205" "HOXA9"
"791" "2122" "MECOM"
"792" "861" "RUNX1"
"793" "4297" "KMT2A"
"794" "4291" "MLF1"
"795" "4763" "NF1"
"796" "867" "CBL"
"797" "3092" "HIP1"
"798" "26127" "FGFR1OP2"
"799" "3845" "KRAS"
"800" "55752" "SEPTIN11"
"801" "1141" "CHRNB2"
"802" "2717" "GLA"
"803" "8890" "EIF2B4"
"804" "5476" "CTSA"
"805" "3251" "HPRT1"
"806" "5654" "HTRA1"
"807" "285362" "SUMF1"
"808" "5626" "PROP1"
"809" "2566" "GABRG2"
"810" "6323" "SCN1A"
"811" "5144" "PDE4D"
"812" "9179" "AP4M1"
"813" "3785" "KCNQ2"
"814" "6792" "CDKL5"
"815" "64374" "SIL1"
"816" "2998" "GYS2"
"817" "7957" "EPM2A"
"818" "5264" "PHYH"
"819" "5261" "PHKG2"
"820" "6658" "SOX3"
"821" "54840" "APTX"
"822" "3565" "IL4"
"823" "2997" "GYS1"
"824" "410" "ARSA"
"825" "411" "ARSB"
"826" "538" "ATP7A"
"827" "5189" "PEX1"
"828" "57465" "TBC1D24"
"829" "950" "SCARB2"
"830" "5660" "PSAP"
"831" "1822" "ATN1"
"832" "6389" "SDHA"
"833" "6326" "SCN2A"
"834" "2542" "SLC37A4"
"835" "5256" "PHKA2"
"836" "4728" "NDUFS8"
"837" "5255" "PHKA1"
"838" "5091" "PC"
"839" "2548" "GAA"
"840" "4723" "NDUFV1"
"841" "443" "ASPA"
"842" "9570" "GOSR2"
"843" "51204" "TACO1"
"844" "427" "ASAH1"
"845" "2760" "GM2A"
"846" "1137" "CHRNA4"
"847" "1135" "CHRNA2"
"848" "241" "ALOX5AP"
"849" "4541" "ND6"
"850" "4540" "ND5"
"851" "846" "CASR"
"852" "5583" "PRKCH"
"853" "378884" "NHLRC1"
"854" "25978" "CHMP2B"
"855" "8892" "EIF2B2"
"856" "8891" "EIF2B3"
"857" "2571" "GAD1"
"858" "2670" "GFAP"
"859" "144165" "PRICKLE1"
"860" "3897" "L1CAM"
"861" "2563" "GABRD"
"862" "2562" "GABRB3"
"863" "2592" "GALT"
"864" "6834" "SURF1"
"865" "5621" "PRNP"
"866" "6609" "SMPD1"
"867" "2896" "GRN"
"868" "166336" "PRICKLE2"
"869" "10020" "GNE"
"870" "26503" "SLC17A5"
"871" "4538" "ND4"
"872" "1636" "ACE"
"873" "4537" "ND3"
"874" "5236" "PGM1"
"875" "9131" "AIFM1"
"876" "2584" "GALK1"
"877" "2581" "GALC"
"878" "1352" "COX10"
"879" "1355" "COX15"
"880" "23431" "AP4E1"
"881" "3073" "HEXA"
"882" "3074" "HEXB"
"883" "340024" "SLC6A19"
"884" "4668" "NAGA"
"885" "95" "ACY1"
"886" "6403" "SELP"
"887" "4524" "MTHFR"
"888" "2582" "GALE"
"889" "5224" "PGAM2"
"890" "51128" "SAR1B"
"891" "4864" "NPC1"
"892" "338567" "KCNK18"
"893" "2554" "GABRA1"
"894" "2517" "FUCA1"
"895" "1181" "CLCN2"
"896" "114327" "EFHC1"
"897" "54664" "TMEM106B"
"898" "8893" "EIF2B5"
"899" "2934" "GSN"
"900" "23189" "KANK1"
"901" "10577" "NPC2"
"902" "5194" "PEX13"
"903" "1967" "EIF2B1"
"904" "5257" "PHKB"
"905" "170302" "ARX"
"906" "5160" "PDHA1"
"907" "5162" "PDHB"
"908" "2720" "GLB1"
"909" "9445" "ITM2B"
"910" "2395" "FXN"
"911" "9049" "AIP"
"912" "5354" "PLP1"
"913" "9211" "LGI1"
"914" "4508" "ATP6"
"915" "5836" "PYGL"
"916" "3786" "KCNQ3"
"917" "154881" "KCTD7"
"918" "1282" "COL4A1"
"919" "8912" "CACNA1H"
"920" "6335" "SCN9A"
"921" "1471" "CST3"
"922" "1476" "CSTB"
"923" "477" "ATP1A2"
"924" "374291" "NDUFS7"
"925" "4854" "NOTCH3"
"926" "3198" "HOXA1"
"927" "84952" "CGNL1"
"928" "1588" "CYP19A1"
"929" "150094" "SIK1"
"930" "208" "AKT2"
"931" "7517" "XRCC3"
"932" "11200" "CHEK2"
"933" "2192" "FBLN1"
"934" "81847" "RNF146"
"935" "83990" "BRIP1"
"936" "9833" "MELK"
"937" "5888" "RAD51"
"938" "339829" "CCDC39"
"939" "55172" "DNAAF2"
"940" "27019" "DNAI1"
"941" "221421" "RSPH9"
"942" "64446" "DNAI2"
"943" "1767" "DNAH5"
"944" "8701" "DNAH11"
"945" "123872" "DNAAF1"
"946" "55036" "CCDC40"
"947" "83544" "DNAL1"
"948" "345895" "RSPH4A"
"949" "51314" "NME8"
"950" "3920" "LAMP2"
"951" "55343" "SLC35C1"
"952" "5373" "PMM2"
"953" "1798" "DPAGT1"
"954" "6448" "SGSH"
"955" "10195" "ALG3"
"956" "22845" "DOLK"
"957" "2990" "GUSB"
"958" "2799" "GNS"
"959" "56052" "ALG1"
"960" "9380" "GRHPR"
"961" "9382" "COG1"
"962" "4126" "MANBA"
"963" "4125" "MAN2B1"
"964" "9526" "MPDU1"
"965" "4351" "MPI"
"966" "8813" "DPM1"
